address,agency,allowable_building_to_floor_area,assess_land,bin,bldg_depth,bldg_front,block,boro,bsmt_code,census_block,census_tract,commercial_floor_area,community_district,condominium_number,contact,coordinates,council_district,current_uses,date_created,e_designation_number,edc___occupied,exempt_land,exempt_tot,factory_floor_area,fire_comp,garage_floor_area,govt_clean_up_program,health_area,health_ctr,his_dist,industrial_business_zone,irr_lot_code,land_use_category,landmark,latitude,longitude,lot,lot_depth,lot_front,lot_type_code,major_use,map_atlas,nta,num_floors,number_of_easements,number_structures,office_floor_area,open_petroleum_spill,other_floor_area,overlay_1,overlay_2,parcel_name,pluto_version,police_prct,potential_urban_ag,proximity_code,ratio_building_to_floor_area,residential_and_non_residential_units,residential_floor_area,residential_units,retail_floor_area,school_dist,sp_dist_1,sp_dist_2,storage_floor_area,structure_completed,total_area,total_gross_area_structures,year_alter_1,year_alter_2,zip_code,zone_dist_1,zone_dist_2
200 WEST 47 STREET,PARKS,0,832500,1085637,50,60,1018,1,5,1008,125,3000,105,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988414/0215837,3,PARK,2013-12-11T00:00:00.000,,0,832500,3982500,0,L004,0,,,,,,Y,9,,40.759225,-73.984699,65,40.5,149.17,1,Q0,4,Midtown-Midtown South                                                      ,1,0,1,0,,3000,,,DUFFY SQUARE PARK,13v1,18,,0,0.9,1,0,0,0,2,,,0,2008,3324,3000,0,0,10036,PARK,
782 8 AVENUE,FIRE,10,1834650,1024767,96.92,60.83,1019,1,5,2001,125,11218,105,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987901/0216443,3,FIREHOUSE,2013-12-11T00:00:00.000,,0,1834650,2419650,0,L004,11218,,,,,,N,8,,40.760792,-73.987182,61,97,60.83,3,Y1,4,Midtown-Midtown South                                                      ,2,0,1,0,,0,,,"ENG 54, LAD 4, BAT 9",13v1,18,,0,1.9,0,0,0,0,2,MID,,0,1974,5900,11218,0,0,10036,C6-4,
225 WEST 53 STREET,NYCTA,10,0,1024834,0,0,1025,1,5,2001,131,0,105,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988805/0217603,3,TRANSIT SUBSTATION,2013-12-11T00:00:00.000,,0,0,0,0,E023,0,,,,,,N,7,,40.763781,-73.983788,11,116,50,5,U7,4,Midtown-Midtown South                                                      ,0,0,1,0,,0,,,IRT SUBSTATION #13,13v1,18,Not Suitable 1 - Site is not suitable for any one or more of these reasons: land-based reasons; reserved for agency purposes; no safe access to the site; site is part of a built street/highway.,0,0,0,0,0,0,2,MID,,0,0,5800,0,0,0,10019,C6-5,C6-7
1697 BROADWAY,MOME,10,2578500,1024838,163,50,1025,1,2,2001,131,96067,105,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988911/0217536,3,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E023,0,,,,,,Y,5,HAMMERSTEIN'S THEATRE (INTERIOR),40.763676,-73.982665,43,190,50.25,5,O3,4,Midtown-Midtown South                                                      ,13,0,1,91678,,0,,,,13v1,18,,3,5.48,2,0,0,4389,2,MID,,0,1927,17527,96067,0,0,10019,C6-7,
215 WEST 58 STREET,FIRE,10,625500,1024915,100,25,1030,1,2,4000,137,6450,105,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0989704/0218632,4,FIREHOUSE,2013-12-11T00:00:00.000,,0,625500,769500,0,E023,6450,,,,,,N,8,FIRE ENGINE COMPANY NO. 23,40.766544,-73.98035,23,100.42,25,5,Y1,4,Midtown-Midtown South                                                      ,3,0,1,0,,0,,,ENG 23,13v1,18,,3,2.57,1,0,0,0,2,,,0,1920,2510,6450,0,0,10019,C5-1,
330 WEST 42 STREET,CB104,10,12735000,1024926,198,153,1032,1,2,1000,115,552775,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986578/0215263,3,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,L021,0,,,,,,Y,5,MCGRAW-HILL BUILDING,40.757661,-73.990832,48,197.5,130.17,4,O3,4,Clinton                                                                    ,33,0,1,552775,,0,,,MC GRAW HILL BLDG,13v1,14,,3,19.76,664,0,0,0,2,MID,,0,1931,27975,552775,1987,0,10036,C6-7,
304 WEST 47 STREET,CULT,10,252000,1025057,75,25,1037,1,2,2001,127,5500,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987545/0216336,3,THEATER,2013-12-11T00:00:00.000,,0,252000,399150,0,E054,0,,,,,,Y,5,FIRE ENGINE CO NO. 54,40.760614,-73.987987,37,82.5,25,5,J4,4,Clinton                                                                    ,4,0,1,0,,5500,,,PUERTO RICAN TRAVELING THEATER,13v1,18,,3,2.75,1,0,0,0,2,CL,,0,1925,2000,5500,0,0,10036,C6-4,
WEST 47 STREET,PARKS,0,1089450,,0,0,1038,1,5,2000,127,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987200/0216693,3,PARK,2013-12-11T00:00:00.000,,0,1089450,1089450,0,E054,0,,,,,,Y,9,,,,8,100.42,75,5,Q2,4,,0,0,0,0,,0,,,RAMON APONTE PARK,13v1,18,,0,0,0,0,0,0,2,,,0,0,8100,0,0,0,10036,PARK,
337 WEST 47 STREET,EDUC,6.02,3870000,1025092,201,150,1038,1,2,2000,127,80617,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987389/0216648,3,PUBLIC SCHOOL,2013-12-11T00:00:00.000,,0,3870000,6925500,0,E054,0,,,,,,N,8,,40.760902,-73.988626,14,200.83,150,4,W1,4,Clinton                                                                    ,5,0,1,80617,,0,,,PS 212/PROF PER ARTS HS (M017),13v1,18,,3,2.68,2,0,0,0,2,CL,,0,1925,30125,80617,1989,0,10036,R8,
311 WEST 52 STREET,EDUC,6.02,3663000,1025241,164,138,1043,1,0,5001,133,57311,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988155/0217669,3,SPECIAL EDUC SCHOOL,2013-12-11T00:00:00.000,,0,3663000,6532650,0,E040,0,,,,,,Y,8,,40.763817,-73.985817,22,200.83,150,4,W1,4,Clinton                                                                    ,4,0,1,57311,,0,C1-5,,PS 58,13v1,18,,3,2.47,2,0,0,0,2,CL,,0,1930,23180,57311,1988,0,10019,R8,
806 9 AVENUE,NYCTA,6.02,7650000,1025391,357,144,1044,1,0,5000,133,196884,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988043/0218073,3,GARAGE,2013-12-11T00:00:00.000,,0,7650000,16522650,0,E040,0,,,,,,Y,5,,40.765601,-73.987394,3,525,135.83,3,O9,4,Clinton                                                                    ,5,0,1,196884,,0,C1-5,,RAIL CONTROL CENTER FOR TA,13v1,18,,0,2.32,3,0,0,0,2,CL,,0,1997,85000,196884,0,0,10019,R8,
136 WEST 90 STREET,PARKS,0,781745,1000000,0,0,1220,1,5,3000,173,0,107,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0991996/0226920,6,PARK,2013-12-11T00:00:00.000,,0,0,0,0,L022,0,,,,,,N,9,,40.789769,-73.972038,49,100,100,5,Q0,4,Upper West Side                                                            ,0,0,0,0,,0,,,ST GREGORY'S PARK,13v1,24,,0,0,0,0,0,0,3,,,0,0,10070,0,0,0,10024,PARK,
314 WEST 54 STREET,DCAS,6.02,1413000,1025397,134,50,1044,1,2,5000,133,43233,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988279/0217943,3,"OFFICE, AGCY OFFICE, CULTURAL FACILITY, COURTHOUSE, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,1413000,3778650,0,E040,0,,,,,,N,8,ELEVENTH DISTRICT MUNICIPAL COURT,40.765082,-73.984997,22,200.83,50,4,Z1,4,Clinton                                                                    ,6,0,1,0,,43233,C1-5,,MIDTOWN COMMUNITY COURT,13v1,18,,2,4.32,1,0,0,0,2,CL,,0,1930,10000,43233,0,0,10019,R8,
306 WEST 54 STREET,NYPD,6.02,2099700,1082822,106,78,1044,1,5,5000,133,30000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0988353/0217918,3,POLICE STATION,2013-12-11T00:00:00.000,,0,2099700,4570200,0,E040,0,,,,,,Y,8,,40.765016,-73.984835,38,175.5,100,5,Y2,4,Clinton                                                                    ,4,0,3,0,Yes,30000,C1-5,,MIDTWN NORTH POLICE STATION,13v1,18,,1,1.75,3,0,0,0,2,CL,,0,1938,17100,30000,1989,0,10019,R8,C6-4
445 WEST 41 STREET,MTA,10,4729411,1090058,0,0,1051,1,5,2001,115,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985715/0215701,3,RAIL LINE,2013-12-11T00:00:00.000,,0,4729411,4729411,0,L021,0,,,,,,N,11,,40.758581,-73.994882,2,66.75,214,5,V1,4,Clinton                                                                    ,0,0,0,0,,0,,,EXTENSION OF NO 7 LINE,13v1,10,,0,0,0,0,0,0,2,CL,,0,0,14284,0,0,0,10036,C6-4,
437 WEST 45 STREET,PARKS,0,1817550,1026441,17,0,1055,1,5,6000,121,459,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986261/0216670,3,PLAYGROUND,2013-12-11T00:00:00.000,,0,1817550,1838700,0,E054,0,,,,,,Y,9,,40.760935,-73.992582,11,200.83,105,4,Q2,4,Clinton                                                                    ,1,0,1,0,,0,,,MAY MATHEWS PLAYGROUND,13v1,18,,0,0.02,0,0,0,459,2,,,0,1910,21088,459,0,0,10036,PARK,
670 10 AVENUE,PARKS,0,2554200,1026548,20,15,1057,1,5,3000,127,200,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986304/0217246,3,PARK,2013-12-11T00:00:00.000,,0,2554200,2561400,0,E054,0,,,,,,N,9,,40.762898,-73.993076,1,125,200.83,3,Q1,4,Clinton                                                                    ,1,0,1,0,,200,,,HELLS KITCHEN PARK,13v1,18,,0,0.01,1,0,0,0,2,,,0,1960,25103,200,0,0,10036,PARK,
WEST 48 STREET,PARKS,6.02,1169359,,0,0,1057,1,5,3000,127,0,104,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0986539/0217177,3,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,E054,0,,,,,,N,11,,,,50,100.42,150,5,V1,4,,0,0,0,0,,0,,,CLINTON COMMUNITY GARDEN,13v1,18,Existing GreenThumb Garden,0,0,0,0,0,0,2,CL,,0,0,15063,0,0,0,10036,R8,
409 WEST 49 STREET,"EDUC, PARKS",6.02,8460000,1026646,194,414,1059,1,2,4000,127,560000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986931/0217497,3,"VOCATION HIGH SCHOOL, PARK",2013-12-11T00:00:00.000,,0,8460000,34136550,0,E054,0,,,,,,Y,8,,40.763115,-73.989986,15,200.83,369.25,5,W1,4,Clinton                                                                    ,7,0,1,560000,Yes,0,,,HS GRAPHIC COMM ARTS & PARK,13v1,18,,0,7.12,1,0,0,0,2,CL,,0,1960,78603,560000,0,0,10019,R8,
742 10 AVENUE,NYPL,6.02,598500,1026706,90,50,1060,1,2,3001,133,13240,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986684/0217961,3,BRANCH LIBRARY,2013-12-11T00:00:00.000,,0,598500,1060650,0,E054,0,,,,,,N,8,,40.765025,-73.991527,63,100,49.5,5,P8,4,Clinton                                                                    ,3,0,1,13240,,0,C2-5,,COLUMBUS BRANCH LIBRARY,13v1,18,,3,2.67,1,0,0,0,2,CL,,0,1910,4950,13240,1982,0,10019,R8,
770 10 AVENUE,EDUC,6.02,6480000,1026740,200,234,1062,1,2,4001,133,75875,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987082/0218308,3,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,6480000,10462050,0,E040,0,,,,,,Y,8,,40.766112,-73.990737,3,425,150.83,5,W1,4,Clinton                                                                    ,4,0,1,0,,75875,C2-5,,PS 111 & PLAYGROUND,13v1,18,,0,0.95,1,0,0,0,2,CL,,0,1959,79832,75875,2012,0,10019,R8,
850 10 AVENUE,EDUC,6.02,3937500,1026841,325,200,1065,1,2,3000,139,243459,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0987404/0219024,6,ACADEMIC HIGH SCHOOL,2013-12-11T00:00:00.000,,0,0,0,0,E040,0,,,,,,Y,8,,40.768343,-73.989108,1,325,200.83,3,W9,4,Clinton                                                                    ,6,0,1,0,Yes,243459,,,INDEPENDENCE HS (M544),13v1,18,,3,4.04,4,0,0,0,2,CL,,0,1924,60300,243459,1985,0,10019,C6-2,
537 10 AVENUE,HPD,10,787231,,0,0,1069,1,5,1014,117,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985189/0215667,3,OTHER TRANS FACILITY,2013-12-11T00:00:00.000,E-137,0,0,0,0,E034,0,,,,,,N,10,,40.758485,-73.996315,29,100,74.08,3,G7,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,0,0,0,0,,0,,,,13v1,10,,0,0,0,0,0,0,2,HY,,0,0,7408,0,0,0,10018,C2-8,
547 10 AVENUE,HPD,10,1147500,1089722,25,45,1069,1,0,1014,117,1125,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985238/0215740,3,OTHER TRANS FACILITY,2013-12-11T00:00:00.000,E-137,0,0,0,0,E034,0,,,,,,Y,10,,40.75871,-73.996152,34,100,123.42,3,G2,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,1,0,2,0,Yes,1125,,,,13v1,10,,1,0.11,1,0,0,0,2,HY,,0,1960,10125,1125,0,0,10018,C2-8,
524 WEST 42 STREET,NYPD,10,626400,1026909,84,59,1070,1,2,1001,117,19420,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985142/0216116,3,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E034,0,,,,,,N,8,,40.76017,-73.99678,44,98.75,58.75,5,Y2,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,4,0,1,0,,19420,,,MIDTOWN NORTH PRECINCT,13v1,10,,3,3.35,1,0,0,0,2,CL,,0,1910,5802,19420,1988,0,10036,C6-4,
530 WEST 43 STREET,FIRE,10,386550,1070109,100,25,1071,1,0,2006,129,9095,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985196/0216430,3,FIREHOUSE,2013-12-11T00:00:00.000,,0,386550,1209600,0,E054,0,,,,,,Y,8,,40.760892,-73.996405,49,100.42,25.42,5,Y1,4,Clinton                                                                    ,4,0,1,9095,,0,,,RESCUE 1,13v1,10,,2,3.62,1,0,0,0,2,CL,,0,1988,2510,9095,0,0,10036,C6-4,
EAST 42 STREET,DSBS,10,912600,,0,0,1353,1,5,1006,88,0,106,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0993112/0211652,4,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,912600,912600,0,E021,0,,,,,,N,7,,,,50,87,277.92,2,T2,4,,0,0,0,0,,0,,,L.U.W. BET E 41 ST & 42 STS,13v1,17,,0,0,0,0,0,0,2,,,0,0,24250,0,0,0,10017,C5-2,
525 WEST 44 STREET,EDUC,6.02,2924550,1089418,0,0,1073,1,0,2008,129,108597,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,3,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,2924550,2924550,0,E054,0,,,,,,N,8,,40.761479,-73.995823,14,128.7,245,5,W1,4,Clinton                                                                    ,0,0,0,0,,108597,C2-5,,NEW SITE FOR PS 51,13v1,18,,1,3.44,1,0,0,0,2,CL,,0,0,31532,108597,0,0,10036,R8,R10
COMMUNITY LANE,PARKS,0,5701,,0,0,6470,5,5,,,0,503,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,0/0,,NATURAL AREA/ETC,2015-12-14T00:00:00.000,,,0,0,0,,0,,,,,,Y,9,,,,40,200,156,5,Q0,,,0,0,0,0,,0,,,BLUE HERON PARK,15v1,,,0,0,0,0,0,0,,,,0,0,35000,0,0,0,,PARK,
520 WEST 45 STREET,EDUC,6.02,632700,1000000,59.5,100,1073,1,0,2008,129,29750,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985579/0216830,3,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,632700,744300,0,E054,0,,,,,,N,8,,40.762061,-73.995307,40,72.13,100,5,W1,4,Clinton                                                                    ,5,0,1,0,,29750,C2-5,,PS 51,13v1,18,,1,4.12,1,0,0,0,2,CL,,0,1905,7213,29750,0,0,10036,R8,
35 EAST 4 STREET,DEP,5,674550,1000000,0,0,544,1,5,1005,57,0,102,0,Christian Grove (212) 669-8888   LL48of2011@DCAS.NYC.GOV,986434/204387,2,MISCELLANEOUS USE,2011-12-15T00:00:00.000,,,674550,674550,0,E033,0,,5700,15,,,Y,11,,40.727441,-73.99225,68,132.25,75,5,V1,4,West Village                                                               ,0,0,0,0,,0,,,,,9,,0,0,0,0,0,0,2,,,0,,9835,0,0,0,10003,M1-5B,
753 10 AVENUE,HPD,7.52,1948500,1070111,90,25,1080,1,2,2004,135,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986616/0218167,3,"IN USE-RES STRUCTURE, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E040,0,,,,,,Y,2,,40.765409,-73.991275,28,200.83,125,3,C4,4,Clinton                                                                    ,6,0,3,0,,0,,,,13v1,18,,0,3.83,53,50296,53,0,2,CL,,0,1900,13122,50296,2006,2011,10019,C6-3,
728 11 AVENUE,HPD,6.02,1089000,1082277,100,50.2,1080,1,5,2004,135,54000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986080/0218533,3,"IN USE-RES STRUCTURE, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E040,0,,,,,,Y,6,,40.766815,-73.993939,103,200,50.2,5,L9,4,Clinton                                                                    ,2,0,5,0,,0,C2-5,,,13v1,18,,0,1.96,3,0,0,0,2,CL,,54000,1910,27614,54000,0,0,10019,R8,R8A
555 WEST 52 STREET,HPD,6,1309050,1088745,91.05,125,1081,1,5,2001,135,69600,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986261/0218762,3,"IN USE-RES STRUCTURE, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,1309050,3246300,2000,E040,5300,,,,,,Y,3,,40.76671,-73.992697,1,200.83,250,3,D9,4,Clinton                                                                    ,11,0,9,5600,Yes,56700,C2-5,,HPD UR SITE #7,13v1,18,,0,3.2,123,85344,96,0,2,CL,,0,2003,48478,154944,2004,0,10019,R8A,M1-5
505 WEST 52 STREET,PARKS,7.52,0,1000000,0,0,1081,1,5,2001,135,0,104,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0986681/0218465,3,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,E040,0,,,,,,Y,,,40.766142,-73.99135,26,75,54.95,5,Z9,4,Clinton                                                                    ,0,0,0,0,,0,,,OASIS GARDEN,13v1,18,Existing GreenThumb Garden,0,0,0,0,0,0,2,CL,,0,0,0,0,0,0,10019,C6-3,
601 WEST 52 STREET,PARKS,0,20209050,1027153,40,130,1100,1,5,2000,135,600,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985831/0219149,3,NEIGHBORHOOD PARK,2013-12-11T00:00:00.000,,0,20209050,20219850,0,E040,600,,,,,,N,9,,40.767268,-73.994022,1,550,461.67,3,Q1,4,Clinton                                                                    ,1,0,1,0,,0,,,DE WITT CLINTON PARK,13v1,18,,0,0,0,0,0,0,2,,,0,1940,253919,600,0,0,10019,PARK,
639 WEST 55 STREET,SANIT,0,1606950,1089493,0,0,1103,1,5,1003,135,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985925/0219785,6,INDOOR STRG-SUPPLIES,2013-12-11T00:00:00.000,,0,1606950,1620450,0,E040,0,,,,,,Y,,,40.769367,-73.993177,10,100.42,100,3,Z9,4,Clinton                                                                    ,0,0,0,0,,0,,,"MANHATTAN GARAGE DIST 4,4A,7",13v1,18,,0,0,0,0,0,0,2,CL,,0,0,10350,0,0,0,10019,M1-5,
786 JOE DIMAGGIO HIGHWAY,SANIT,0,3372750,,320,124,1103,1,0,1003,135,79969,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986029/0219851,6,COMBINED MAINT/STRG,2013-12-11T00:00:00.000,,0,3372750,4776300,0,E040,79969,,,,,,Y,7,,40.770257,-73.994599,44,368,191,5,Y6,4,Clinton                                                                    ,4,0,1,0,,0,,,MANHATTAN 4/4A/7 GARAGE,13v1,18,,0,2.01,4,0,0,0,2,CL,,0,1937,39850,79969,0,0,10019,M1-5,
800 JOE DIMAGGIO HIGHWAY,SANIT,0,5828400,,302,262,1104,1,0,1002,135,167700,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0986055/0219960,6,COMBINED MAINT/STRG,2013-12-11T00:00:00.000,,0,5828400,8764650,0,E040,167700,,,,,,Y,7,,40.77063,-73.994552,1,342,262,3,Y6,4,Clinton                                                                    ,4,0,1,0,Yes,0,,,MANHATTAN 4/4A/7 GARAGE,13v1,18,,2,2.87,3,0,0,0,2,CL,,0,1940,58375,167700,0,0,10019,M1-5,
465 12 AVENUE,PARKS,0,6839550,1000000,84,13,1107,1,0,1003,117,42000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983338/0216970,3,PARK,2013-12-11T00:00:00.000,,0,6839550,9274050,0,E034,0,,,,,,N,7,,40.760919,-74.002094,5,775,358.75,9,T2,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,1,0,1,0,,42000,,,PIER 81- CIRCLE LINE,13v1,10,,1,0.15,2,0,0,0,2,,,0,1968,278775,42000,0,0,10019,M2-3,
MARGINAL STREET,PARKS,0,3962700,,0,0,1107,1,5,,,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,3,PARK,2013-12-11T00:00:00.000,,0,3962700,3962700,0,,0,,,,,,N,7,,,,11,775,200,9,Y7,4,,0,0,0,0,,0,,,PIER 83 - L.U.W,13v1,0,,0,0,0,0,0,0,2,,,0,0,155975,0,0,0,0,M2-3,
WEST 48 STREET,DSBS,0,13410900,,980,100,1107,1,0,1000,129,403125,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984356/0218473,3,"NO USE, FINAL COMMITMNT-DISP, S/T & L/T AGREEMENTS",2013-12-11T00:00:00.000,,0,13410900,31901400,0,E054,0,,,,,,N,7,,,,12,1075.42,450,9,T2,4,,2,0,1,0,,403125,,,PIER 88- PASSENGER SHIP TERM,13v1,18,,1,0.74,2,0,0,0,2,,,0,1930,542650,403125,1982,0,10036,M2-3,
WEST 43 STREET,PARKS,0,3834450,,700,0,1107,1,5,1000,129,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983569/0217389,3,PARK,2013-12-11T00:00:00.000,,0,3834450,7429050,0,E054,0,,,,,,N,7,,,,14,775,200.58,5,T2,4,,3,0,1,0,,0,,,PIER 83- CIRCLE LINE,13v1,18,,0,0,0,0,0,0,2,,,0,1967,155400,0,0,0,10019,M2-3,
555 12 AVENUE,PARKS,0,9719550,1027182,700,0,1107,1,5,1000,129,94500,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983858/0217599,3,PARK,2013-12-11T00:00:00.000,,0,9719550,10867050,0,E054,0,,,,,,Y,7,,40.762893,-73.999975,21,1075.42,435.58,9,T2,4,Clinton                                                                    ,2,0,3,0,,94500,,,PIER 84-C/L/FLOATING THE APPLE,13v1,18,,0,0.24,0,0,0,0,2,,,0,1930,398000,94500,0,0,10036,M2-3,
WEST 46 STREET,PARKS,0,12914550,,1000.83,0,1107,1,5,1000,129,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984095/0218018,3,PARK,2013-12-11T00:00:00.000,,0,12914550,14465250,0,E054,0,,,,,,N,7,,,,30,1000.83,530,9,T2,4,,2,0,3,0,,0,,,PIER 86- INTREPID,13v1,18,,0,0,0,0,0,0,2,,,0,1930,524750,0,0,0,0,M2-3,
12 AVENUE,PARKS,10,7873200,,0,0,1171,1,5,,,0,107,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,6,PARK,2013-12-11T00:00:00.000,,0,0,0,0,L035,0,,,,,,Y,7,,,,100,180,601,2,T2,4,,0,0,0,0,,0,,,RIVERSIDE PARK SOUTH,13v1,20,,0,0,0,0,0,0,3,,,0,1900,501600,0,0,0,0,R10,
WEST 54 STREET,DSBS,0,7110000,,775,0,1109,1,5,1000,135,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984948/0219882,3,"FINAL COMMITMNT-DISP, IN USE-TENANTED, SHORT-TERM AGREEMENT, S/T & L/T AGREEMENTS",2013-12-11T00:00:00.000,,0,7110000,15877800,0,E040,0,,,,,,N,7,,,,5,775,374.67,9,T2,4,,2,0,2,0,Yes,0,,,PIER 94- UN-CONVENTION CENTER,13v1,18,,0,0,0,0,0,0,2,,,0,1930,289191,0,0,0,10019,M2-3,
WEST 55 STREET,PARKS,0,5438250,,0,0,1109,1,5,1000,135,26000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985105/0220166,3,PARK,2013-12-11T00:00:00.000,,0,5438250,5438250,0,E040,0,,,,,,N,7,,,,10,775,360.67,9,T2,4,,0,0,1,0,,26000,,,PIER 95,13v1,18,,0,0.13,0,0,0,0,2,,,0,0,206475,26000,0,0,10019,M2-3,
801 12 AVENUE,PARKS,0,5486850,1086226,0,0,1109,1,5,1000,135,84000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985235/0220398,3,PARK,2013-12-11T00:00:00.000,,0,5486850,5486850,0,E040,0,,,,,,N,7,,40.770852,-73.99453,15,775,260.58,9,T2,4,Clinton                                                                    ,0,0,1,0,,84000,,,PIER 96,13v1,18,,0,0.41,0,0,0,0,2,,,0,0,206950,84000,0,0,10019,M2-3,
WEST 57 STREET,"DOT, SANIT",0,5895450,,700,0,1109,1,5,1000,135,231000,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985374/0220645,3,"WASTEWATER PUMPING, NO USE-VACANT LAND",2013-12-11T00:00:00.000,,0,5895450,6475050,0,E040,0,,,,,,N,7,,,,20,775,305.83,9,T2,4,,2,0,1,0,,231000,,,PIER 97,13v1,18,,0,0.97,0,0,0,0,2,,,0,1930,238675,231000,0,0,10019,M2-3,
WEST 50 STREET,DSBS,0,13139100,,1075.42,0,1109,1,5,1000,129,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0984609/0218934,3,"OTH WATER TRANS FAC, FINAL COMMITMNT-DISP, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,13139100,31804200,0,E054,0,,,,,,Y,7,,,,21,1075.42,475,9,T2,4,,2,0,1,0,,0,,,PIER 90- PASSENGER SHIP TERM,13v1,18,,0,0,0,0,0,0,2,,,0,1930,533000,0,0,0,10019,M2-3,
WEST 58 STREET,PARKS,0,5310000,,702.42,0,1109,1,5,1000,135,0,104,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0985534/0220882,3,PARK,2013-12-11T00:00:00.000,,0,5310000,5805000,0,E040,0,,,,,,Y,7,,,,25,775,251.75,9,T2,4,,1,0,1,0,Yes,0,,,PIER 98- CON EDISON,13v1,18,,0,0,0,0,0,0,2,,,0,1930,215175,0,0,0,10019,M2-3,
