action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode
Violations were cited in the following area(s).,MANHATTAN,95,50011127,Critical,Indian,MINT MASALA,A,2017-03-27T00:00:00.000,2017-03-27T00:00:00.000,Cycle Inspection / Re-inspection,2127772888,2018-03-26T06:00:56.000,12,MACDOUGAL ST,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",10012
Violations were cited in the following area(s).,QUEENS,8516A,50040249,Not Critical,Spanish,CEVICHERIA EL REY,A,2015-10-01T00:00:00.000,2015-10-01T00:00:00.000,Pre-permit (Operational) / Re-inspection,6462694107,2018-03-26T06:00:56.000,9,ROOSEVELT AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11372
Violations were cited in the following area(s).,MANHATTAN,145,50010285,Critical,American,FOOLS GOLD,,,2016-02-10T00:00:00.000,Cycle Inspection / Initial Inspection,2126732337,2018-03-26T06:00:56.000,20,E HOUSTON ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10002
Violations were cited in the following area(s).,MANHATTAN,168,41061355,Critical,American,THE DELANCEY,,,2016-08-30T00:00:00.000,Cycle Inspection / Initial Inspection,2122549920,2018-03-26T06:00:56.000,15,DELANCEY STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10002
Violations were cited in the following area(s).,BRONX,1007,41444157,Critical,Delicatessen,MAMMA ROSA'S,,,2016-10-12T00:00:00.000,Cycle Inspection / Initial Inspection,7188810242,2018-03-26T06:00:56.000,15,ALLERTON AVENUE,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10469
Violations were cited in the following area(s).,QUEENS,11632,41274838,Not Critical,Tex-Mex,FRESCO TORTILLERIA,A,2015-05-13T00:00:00.000,2015-05-13T00:00:00.000,Cycle Inspection / Initial Inspection,7187933300,2018-03-26T06:00:56.000,11,QUEENS BOULEVARD,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",11375
Violations were cited in the following area(s).,QUEENS,8507,41300025,Critical,Pizza/Italian,SAL'S PIZZERIA,,,2015-09-19T00:00:00.000,Cycle Inspection / Initial Inspection,7184412606,2018-03-26T06:00:56.000,13,JAMAICA AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11421
Violations were cited in the following area(s).,QUEENS,8904,50047255,Critical,Pizza,QUEENS BLVD PIZZERIA,,,2016-04-12T00:00:00.000,Pre-permit (Non-operational) / Initial Inspection,7182055097,2018-03-26T06:00:56.000,56,QUEENS BLVD,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,11373
Violations were cited in the following area(s).,QUEENS,26515,40361322,Critical,"Ice Cream, Gelato, Yogurt, Ices",CARVEL ICE CREAM,,,2015-03-09T00:00:00.000,Cycle Inspection / Initial Inspection,7183430392,2018-03-26T06:00:56.000,14,HILLSIDE AVENUE,04A,Food Protection Certificate not held by supervisor of food operations.,11004
Violations were cited in the following area(s).,BROOKLYN,7706,50018552,Not Critical,Chinese,ORCHID DYNASTY RESTAURANT,,,2016-01-27T00:00:00.000,Cycle Inspection / Initial Inspection,7188372017,2018-03-26T06:00:56.000,38,NEW UTRECHT AVE,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",11214
Violations were cited in the following area(s).,BROOKLYN,119,41533145,Not Critical,Pizza,SAL'S PIZZERIA,A,2017-05-05T00:00:00.000,2017-05-05T00:00:00.000,Cycle Inspection / Re-inspection,7183865299,2018-03-26T06:00:56.000,5,WYCKOFF AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11237
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,MANHATTAN,1664,41310578,Critical,American,EASTEND BAR & GRILL,,,2018-02-21T00:00:00.000,Cycle Inspection / Initial Inspection,2123483783,2018-03-26T06:00:56.000,66,1 AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10028
Violations were cited in the following area(s).,MANHATTAN,379,41497493,Critical,American,EDDY'S EATS,C,2016-11-07T00:00:00.000,2016-11-07T00:00:00.000,Cycle Inspection / Re-inspection,2126854901,2018-03-26T06:00:56.000,38,PARK AVENUE SOUTH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10016
Violations were cited in the following area(s).,MANHATTAN,135,50058578,Critical,Sandwiches,MAKE SANDWICH,,,2017-06-30T00:00:00.000,Cycle Inspection / Initial Inspection,2123982602,2018-03-26T06:00:56.000,10,4TH AVE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10003
Violations were cited in the following area(s).,MANHATTAN,179,41615382,Not Critical,Indian,THE MASALA WALA,,,2015-04-01T00:00:00.000,Trans Fat / Re-inspection,2123589300,2018-03-26T06:00:56.000,,ESSEX STREET,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",10002
Violations were cited in the following area(s).,BRONX,2009,50064379,Critical,Bakery,THE LITTLE CUPCAKE PASTRY SHOP,,,2017-10-28T00:00:00.000,Cycle Inspection / Initial Inspection,9178475373,2018-03-26T06:00:56.000,29,BRONXDALE AVE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10462
Violations were cited in the following area(s).,QUEENS,2527B,50036776,Critical,Sandwiches/Salads/Mixed Buffet,SUBWAY,A,2017-06-22T00:00:00.000,2017-06-22T00:00:00.000,Cycle Inspection / Initial Inspection,7183533100,2018-03-26T06:00:56.000,13,PARSONS BLVD,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11354
Violations were cited in the following area(s).,QUEENS,8302,41637672,Critical,Peruvian,DON POLLO,A,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,Cycle Inspection / Re-inspection,7186470007,2018-03-26T06:00:56.000,12,95TH AVE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11416
Violations were cited in the following area(s).,MANHATTAN,203,40974766,Not Critical,Other,CHIKALICIOUS DESSERT BAR,,,2014-10-16T00:00:00.000,Administrative Miscellaneous / Initial Inspection,2129959511,2018-03-26T06:00:56.000,,EAST   10 STREET,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",10003
Violations were cited in the following area(s).,MANHATTAN,59,40726811,Critical,American,RELIABLE FOOD,A,2014-08-15T00:00:00.000,2014-08-15T00:00:00.000,Cycle Inspection / Initial Inspection,2127506363,2018-03-26T06:00:56.000,12,EAST   54 STREET,02B,Hot food item not held at or above 140Âº F.,10022
Violations were cited in the following area(s).,QUEENS,8605,41163809,Not Critical,Thai,LUCKY THAILAND KITCHEN,,,2015-06-04T00:00:00.000,Cycle Inspection / Initial Inspection,7188474700,2018-03-26T06:00:56.000,19,JAMAICA AVENUE,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",11421
Violations were cited in the following area(s).,MANHATTAN,210,40990288,Critical,American,PUBLIC RESTAURANT/THE DAILY,,,2016-01-21T00:00:00.000,Cycle Inspection / Initial Inspection,2123437011,2018-03-26T06:00:56.000,31,ELIZABETH STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10012
Violations were cited in the following area(s).,QUEENS,10543,50012352,Critical,Jewish/Kosher,SUSHI FUSSION,,,2014-09-29T00:00:00.000,Pre-permit (Operational) / Initial Inspection,7189978744,2018-03-26T06:00:56.000,18,64TH RD,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11375
Violations were cited in the following area(s).,MANHATTAN,530,41582872,Not Critical,American,SLEEP NO MORE AT THE MCKITTRICK HOTEL,,,2017-03-30T00:00:00.000,Cycle Inspection / Initial Inspection,2129041883,2018-03-26T06:00:56.000,19,WEST   27 STREET,10H,Proper sanitization not provided for utensil ware washing operation.,10001
Violations were cited in the following area(s).,BRONX,691,41204887,Not Critical,Caribbean,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,A,2015-12-02T00:00:00.000,2015-12-02T00:00:00.000,Cycle Inspection / Initial Inspection,7186718841,2018-03-26T06:00:56.000,9,CO-OP CITY BOULEVARD,09C,Food contact surface not properly maintained.,10475
Violations were cited in the following area(s).,MANHATTAN,32,50045953,Critical,Thai,EAST VILLAGE THIA RESTAURANT,,,2016-03-29T00:00:00.000,Pre-permit (Operational) / Initial Inspection,2126734610,2018-03-26T06:00:56.000,30,E 7TH ST,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10003
No violations were recorded at the time of this inspection.,MANHATTAN,134136,41056448,Not Applicable,Chinese,A & C KITCHEN,,,2016-06-21T00:00:00.000,Trans Fat / Initial Inspection,2126778112,2018-03-26T06:00:59.000,,AVENUE C,,,10009
Violations were cited in the following area(s).,BRONX,2457,50073117,Critical,Spanish,OCHE A 2 GUSTO,Not Yet Graded,,2018-02-13T00:00:00.000,Pre-permit (Operational) / Initial Inspection,6463594028,2018-03-26T06:00:56.000,18,WEBSTER AVE,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10458
No violations were recorded at the time of this inspection.,MANHATTAN,49,41046492,Not Applicable,Chicken,CAFE EXCHANGE,,,2016-04-28T00:00:00.000,Administrative Miscellaneous / Re-inspection,2124255000,2018-03-26T06:00:56.000,,BROADWAY,,,10006
Violations were cited in the following area(s).,QUEENS,3405,50000335,Critical,Japanese,OKIDOKI,,,2016-02-13T00:00:00.000,Cycle Inspection / Initial Inspection,7188061677,2018-03-26T06:00:56.000,17,30TH AVE,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",11103
Violations were cited in the following area(s).,MANHATTAN,236,40365789,Critical,Italian,PATSY'S ITALIAN RESTAURANT,,,2015-08-13T00:00:00.000,Cycle Inspection / Initial Inspection,2122473491,2018-03-26T06:00:56.000,23,WEST   56 STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10019
Violations were cited in the following area(s).,MANHATTAN,449,40394176,Not Critical,American,MOONSTRUCK EAST,,,2017-07-27T00:00:00.000,Cycle Inspection / Initial Inspection,2122131100,2018-03-26T06:00:56.000,48,THIRD AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10016
Violations were cited in the following area(s).,QUEENS,13742,50044142,Critical,Chinese,XIN BAO,A,2016-04-11T00:00:00.000,2016-04-11T00:00:00.000,Pre-permit (Operational) / Re-inspection,7189778989,2018-03-26T06:00:56.000,12,GUY R BREWER BLVD,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11434
Violations were cited in the following area(s).,BRONX,2037,50007857,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",DON PANCHOLO LECHONERA RESTAURANT,,,2017-05-19T00:00:00.000,Cycle Inspection / Initial Inspection,7185832979,2018-03-26T06:00:56.000,16,JEROME AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10453
Violations were cited in the following area(s).,MANHATTAN,135,50044709,Critical,Bakery,SWEETS BAKERY,,,2016-09-22T00:00:00.000,Cycle Inspection / Initial Inspection,2122192012,2018-03-26T06:00:56.000,45,WALKER ST,04M,Live roaches present in facility's food and/or non-food areas.,10013
Violations were cited in the following area(s).,BROOKLYN,679,41709361,Critical,Chinese,LINS CHINA GARDEN,,,2017-08-03T00:00:00.000,Cycle Inspection / Initial Inspection,7188756637,2018-03-26T06:00:56.000,21,MYRTLE AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11205
Violations were cited in the following area(s).,MANHATTAN,344,50064262,Not Critical,Other,MONT BLANC 52,,,2017-06-20T00:00:00.000,Pre-permit (Operational) / Initial Inspection,2125829648,2018-03-26T06:00:56.000,12,W 52ND ST,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",10019
Violations were cited in the following area(s).,BROOKLYN,1482,41706076,Critical,Pizza,LITTLE CAESARS,A,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,Cycle Inspection / Re-inspection,7184841800,2018-03-26T06:00:56.000,13,FLATBUSH AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11210
Violations were cited in the following area(s).,MANHATTAN,556,41459867,Not Critical,Japanese,SUSHI WEST,,,2015-01-14T00:00:00.000,Cycle Inspection / Initial Inspection,2123371023,2018-03-26T06:00:56.000,17,HUDSON STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10014
Violations were cited in the following area(s).,MANHATTAN,290,41668582,Not Critical,American,ESSEN,,,2017-08-04T00:00:00.000,Cycle Inspection / Initial Inspection,2126890800,2018-03-26T06:00:56.000,25,MADISON AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10017
Violations were cited in the following area(s).,MANHATTAN,514,50038175,Not Critical,American,LENZ'S,A,2018-02-02T00:00:00.000,2018-02-02T00:00:00.000,Cycle Inspection / Re-inspection,2129792859,2018-03-26T06:00:56.000,13,E 20TH ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10009
Violations were cited in the following area(s).,QUEENS,9118,41244379,Not Critical,Peruvian,LA UNION RESTAURANT,A,2016-03-23T00:00:00.000,2016-03-23T00:00:00.000,Cycle Inspection / Re-inspection,7185922786,2018-03-26T06:00:56.000,11,CORONA AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11373
Violations were cited in the following area(s).,BROOKLYN,5221,50009813,Critical,Chinese,KAM FUNG RESTAURANT,,,2016-09-15T00:00:00.000,Cycle Inspection / Initial Inspection,7182530212,2018-03-26T06:00:56.000,22,AVENUE N,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11234
Violations were cited in the following area(s).,MANHATTAN,363,50057699,Critical,Chinese,GREAT SICHUAN,,,2017-01-10T00:00:00.000,Pre-permit (Operational) / Initial Inspection,2126868866,2018-03-26T06:00:56.000,47,3RD AVE,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",10016
Violations were cited in the following area(s).,MANHATTAN,523,50035433,Not Critical,American,BAR HUGO,A,2018-01-25T00:00:00.000,2018-01-25T00:00:00.000,Cycle Inspection / Initial Inspection,2126081211,2018-03-26T06:00:56.000,2,GREENWICH ST,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10013
Violations were cited in the following area(s).,BROOKLYN,1412,50049780,Critical,Chinese,SPRING BAKERY,,,2017-10-04T00:00:00.000,Cycle Inspection / Initial Inspection,7189982028,2018-03-26T06:00:56.000,27,AVENUE U,02B,Hot food item not held at or above 140Âº F.,11229
,QUEENS,10725,50075519,Not Applicable,Other,,,,1900-01-01T00:00:00.000,,7186842162,2018-03-26T06:01:02.000,,LIBERTY AVE,,,11417
Violations were cited in the following area(s).,BROOKLYN,116,50000985,Critical,Delicatessen,COURT STREET GROCERS HERO SHOP,B,2016-07-15T00:00:00.000,2016-07-15T00:00:00.000,Cycle Inspection / Re-inspection,3475296803,2018-03-26T06:00:56.000,17,SULLIVAN STREET,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",11231
Violations were cited in the following area(s).,QUEENS,170-18,50001789,Critical,Spanish,RESTAURANTE & PANADERIA GUATELINDA,C,2015-12-15T00:00:00.000,2015-12-15T00:00:00.000,Cycle Inspection / Re-inspection,2124706169,2018-03-26T06:00:56.000,41,JAMAICA AVE,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,11432
Violations were cited in the following area(s).,MANHATTAN,1605,50001714,Not Critical,American,CROWNE PLAZA-TIMES SQUARE (BANQUET KITCHEN),A,2017-10-13T00:00:00.000,2017-10-13T00:00:00.000,Cycle Inspection / Re-inspection,2129774000,2018-03-26T06:00:56.000,7,BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10019
Violations were cited in the following area(s).,BROOKLYN,2332,50015981,Not Critical,Chinese,SHUNDECK RESTAURANT,C,2016-08-04T00:00:00.000,2016-08-04T00:00:00.000,Cycle Inspection / Re-inspection,9179339779,2018-03-26T06:00:56.000,32,86TH ST,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11214
Violations were cited in the following area(s).,BROOKLYN,3312,50047532,Not Critical,Chinese,CHINA KITCHEN,A,2017-08-31T00:00:00.000,2017-08-31T00:00:00.000,Cycle Inspection / Initial Inspection,7182826686,2018-03-26T06:00:56.000,9,CHURCH AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11203
Violations were cited in the following area(s).,QUEENS,4315,50003570,Not Critical,American,M. WELLS STEAKHOUSE,A,2015-04-29T00:00:00.000,2015-04-29T00:00:00.000,Cycle Inspection / Re-inspection,7187869060,2018-03-26T06:00:56.000,12,CRESCENT ST,10I,"Single service item reused, improperly stored, dispensed; not used when required.",11101
Violations were cited in the following area(s).,BROOKLYN,292,50008725,Critical,Chinese,M SHANGHAI,,,2016-02-18T00:00:00.000,Cycle Inspection / Initial Inspection,7183849300,2018-03-26T06:00:56.000,42,GRAND ST,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",11211
Violations were cited in the following area(s).,BROOKLYN,6702,50059280,Not Critical,Mexican,LOS TIGRES BAKERY,A,2017-11-08T00:00:00.000,2017-11-08T00:00:00.000,Cycle Inspection / Re-inspection,9175685379,2018-03-26T06:00:56.000,13,13TH AVE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11219
Violations were cited in the following area(s).,MANHATTAN,2588,50011024,Not Critical,Indian,AWADH,A,2017-07-10T00:00:00.000,2017-07-10T00:00:00.000,Cycle Inspection / Re-inspection,6468613403,2018-03-26T06:00:56.000,11,BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10025
Violations were cited in the following area(s).,BRONX,564,41656750,Critical,Thai,SIAM SQAURE THAI CUISINE,A,2014-11-06T00:00:00.000,2014-11-06T00:00:00.000,Cycle Inspection / Re-inspection,7184328200,2018-03-26T06:00:56.000,12,KAPPOCK STREET,04M,Live roaches present in facility's food and/or non-food areas.,10463
Violations were cited in the following area(s).,MANHATTAN,261,50064404,Critical,Japanese,SAMURICE,,,2018-02-01T00:00:00.000,Cycle Inspection / Initial Inspection,9254369387,2018-03-26T06:00:56.000,38,CANAL ST,06F,Wiping cloths soiled or not stored in sanitizing solution.,10013
Violations were cited in the following area(s).,BROOKLYN,1451,41713405,Critical,African,CAFE RUE DIX,A,2015-04-20T00:00:00.000,2015-04-20T00:00:00.000,Cycle Inspection / Initial Inspection,9292342543,2018-03-26T06:00:56.000,13,BEDFORD AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11216
Violations were cited in the following area(s).,QUEENS,7707,41251802,Not Critical,Bakery,LETY BAKERY,,,2014-07-07T00:00:00.000,Cycle Inspection / Initial Inspection,7185076539,2018-03-26T06:00:56.000,46,37 AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11372
Violations were cited in the following area(s).,BROOKLYN,1506,41218581,Critical,Delicatessen,V J  HOT BAGELS,,,2015-10-15T00:00:00.000,Cycle Inspection / Initial Inspection,7189982302,2018-03-26T06:00:56.000,31,ELM AVENUE,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11230
Violations were cited in the following area(s).,STATEN ISLAND,524,40366132,Not Critical,Pizza/Italian,DENINO'S PIZZERIA TAVERN,,,2017-03-22T00:00:00.000,Cycle Inspection / Initial Inspection,7184429401,2018-03-26T06:00:56.000,27,PORT RICHMOND AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10302
Violations were cited in the following area(s).,MANHATTAN,6,40381420,Critical,Japanese,VILLAGE YOKOCHO,A,2015-06-02T00:00:00.000,2015-06-02T00:00:00.000,Cycle Inspection / Re-inspection,2125983041,2018-03-26T06:00:56.000,7,STUYVESANT STREET,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,10003
Violations were cited in the following area(s).,QUEENS,4142A,50039403,Critical,Chinese,CHANGLE CUISINE,,,2017-05-09T00:00:00.000,Cycle Inspection / Initial Inspection,9293008988,2018-03-26T06:00:56.000,18,MAIN ST,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11355
Violations were cited in the following area(s).,BROOKLYN,577,50035649,Not Critical,Chicken,CROWN FRIED CHICKEN,A,2017-06-07T00:00:00.000,2017-06-07T00:00:00.000,Cycle Inspection / Re-inspection,3474058729,2018-03-26T06:00:56.000,12,SUTTER AVE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11207
Violations were cited in the following area(s).,BROOKLYN,298,50056811,Critical,Pizza/Italian,ROGELIO'S PIZZA,,,2017-01-26T00:00:00.000,Pre-permit (Non-operational) / Initial Inspection,7184561005,2018-03-26T06:00:56.000,37,IRVING AVE,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",11237
Violations were cited in the following area(s).,QUEENS,24825,50041997,Critical,Pizza/Italian,TOSKANA PIZZERIA RESTAURANT,A,2016-04-04T00:00:00.000,2016-04-04T00:00:00.000,Pre-permit (Operational) / Re-inspection,7182252887,2018-03-26T06:00:56.000,12,NORTHERN BLVD,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11362
Violations were cited in the following area(s).,MANHATTAN,500,50040532,Not Critical,American,INTERNATIONAL HOUSE DINING,A,2017-02-13T00:00:00.000,2017-02-13T00:00:00.000,Cycle Inspection / Re-inspection,2123168479,2018-03-26T06:00:56.000,6,RIVERSIDE DR,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",10027
Violations were cited in the following area(s).,QUEENS,2428,41554120,Critical,Italian,BROOKS 1890 RESTAURANT,A,2017-02-10T00:00:00.000,2017-02-10T00:00:00.000,Cycle Inspection / Re-inspection,7189371890,2018-03-26T06:00:56.000,12,JACKSON AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11101
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,QUEENS,13403,41695456,Critical,Indian,PRABHU KIRPA SWEETS AND RESTAURANT,,,2014-09-24T00:00:00.000,Cycle Inspection / Re-inspection,7187383030,2018-03-26T06:00:56.000,65,ROCKAWAY BOULEVARD,04A,Food Protection Certificate not held by supervisor of food operations.,11420
Violations were cited in the following area(s).,MANHATTAN,144,41368950,Critical,Pizza,GOTHAM PIZZA,A,2016-09-29T00:00:00.000,2016-09-29T00:00:00.000,Cycle Inspection / Re-inspection,2129898858,2018-03-26T06:00:56.000,12,9 AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10011
Violations were cited in the following area(s).,MANHATTAN,1540,41714341,Not Critical,American,PLANET HOLLYWOOD,,,2017-02-06T00:00:00.000,Cycle Inspection / Initial Inspection,2123337827,2018-03-26T06:00:56.000,20,BROADWAY,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10036
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,MANHATTAN,120,50052702,Critical,Asian,THE TANG,,,2017-11-02T00:00:00.000,Cycle Inspection / Re-inspection,6466783092,2018-03-26T06:00:56.000,68,1ST AVE,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10009
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,MANHATTAN,152,50043404,Not Critical,Mexican,OAXACA TAQUERIA- MURRAY HILL,,,2016-07-12T00:00:00.000,Cycle Inspection / Initial Inspection,9175620005,2018-03-26T06:00:56.000,61,E 33RD ST,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10016
Violations were cited in the following area(s).,BROOKLYN,2160,50004352,Not Critical,American,KFC,,,2017-12-21T00:00:00.000,Calorie Posting / Initial Inspection,7184211857,2018-03-26T06:00:56.000,,FLATBUSH AVE,16E,"Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.",11234
Violations were cited in the following area(s).,QUEENS,12618,50044398,Not Critical,Chinese,CHUEN HING KITCHEN,,,2016-08-05T00:00:00.000,Cycle Inspection / Initial Inspection,7188460337,2018-03-26T06:00:56.000,27,101ST AVE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11419
