agency,agency_name,brief_description,call_resolution,date,date_time,inquiry_name,time,unique_id
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:18:29.000,Heat Complaint - Residential Building - Inadequate Heat,9:18:29 PM,90494041
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:26:01.000,Heat Complaint - Residential Building - Inadequate Heat,9:26:01 PM,90494042
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:40:25.000,Heat Complaint - Residential Building - Inadequate Heat,9:40:25 PM,90494043
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:48:02.000,Heat Complaint - Residential Building - Inadequate Heat,9:48:02 PM,90494044
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:58:03.000,Heat Complaint - Residential Building - Inadequate Heat,9:58:03 PM,90494045
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:23:13.000,Heat Complaint - Residential Building - Inadequate Heat,9:23:13 PM,90494046
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:30:57.000,Vehicle Blocking Driveway Complaint,9:30:57 PM,90494047
NYPD,New York City Police Department,Report an abandoned vehicle with at least one fixed metal license plate or in-transit paper registration plate.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:22:41.000,Abandoned Vehicle With Plates on Public Property,9:22:41 PM,90494048
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:30:23.000,No Hot Water Complaint - Residential Building - From Tenant,9:30:23 PM,90494049
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:32:26.000,Heat Complaint - Residential Building - Inadequate Heat,9:32:26 PM,90494050
DHS,Department of Homeless Services,Apply for shelter for single homeless adults 18 and older.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:24:57.000,Homeless Shelter Intake for Single Adults,10:24:57 PM,90494081
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:33:36.000,No Hot Water Complaint - Residential Building - From Tenant,9:33:36 PM,90494051
3-1-1,3-1-1 Call Center,HIV counseling and testing. Medical treatment at public hospitals.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:39:16.000,HIV Test and Treatment,9:39:16 PM,90494052
NYPD,New York City Police Department,Locate a person you think is in police custody in Brooklyn.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T21:42:50.000,Arrested Person Location - Brooklyn,9:42:50 PM,90494053
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:46:36.000,Heat Complaint - Residential Building - Inadequate Heat,9:46:36 PM,90494054
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:48:31.000,No Hot Water Complaint - Residential Building - From Tenant,9:48:31 PM,90494055
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:50:23.000,Vehicle Blocking Driveway Complaint,9:50:23 PM,90494056
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:35:30.000,Heat Complaint - Residential Building - Inadequate Heat,9:35:30 PM,90494057
HRA,Human Resources Administration,Locations to get assistance and apply for Medicaid.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T21:37:18.000,Find a Medicaid Office,9:37:18 PM,90494059
DOHMH,Department of Health and Mental Hygiene,Report pets that have been abandoned by their owners.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T21:39:56.000,Animal - Abandoned Pet,9:39:56 PM,90494060
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Caller Hung Up,2013-01-24T00:00:00.000,2013-01-24T21:42:23.000,Outside of 311 Jurisdiction,9:42:23 PM,90494061
DOF,Department of Finance,Location of a vehicle that may have been towed. Must know license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:43:55.000,Find a Towed Vehicle - Plate Number Known,9:43:55 PM,90494062
DOF,Department of Finance,Location of a vehicle that may have been towed. Must know license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:48:44.000,Find a Towed Vehicle - Plate Number Known,9:48:44 PM,90494063
DCAS,Department of Citywide Administrative Services,"Information about civil service exams, including schedules, fees, change of personal information, and how to apply by mail or online.",Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T21:52:17.000,Civil Service Exam Information,9:52:17 PM,90494064
NYPD,New York City Police Department,Report noise other than an alarm from a store or commercial location.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:55:12.000,Noise from Store or Business,9:55:12 PM,90494065
CJC,Criminal Justice Coordinator,"Provides information, counseling, and compensation to crime victims.",Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T21:56:49.000,Crime Victim Assistance,9:56:49 PM,90494066
TLC,Taxi and Limousine Commission,Information for a customer who lost an item in a taxi and has the taxi medallion number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:59:29.000,Lost Property in a Taxi - Medallion Number Known,9:59:29 PM,90494067
DEP,Department of Environmental Protection,"Report drinking water from the tap or faucet that is dirty, brown, black, or rusty.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T22:02:49.000,Cold Water Complaint - Dirty,10:02:49 PM,90494068
DOHMH,Department of Health and Mental Hygiene,Animal Care Centers of NYC does not provide trapping services for nuisance animals.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:07:03.000,Animal - Nuisance Wildlife,10:07:03 PM,90494069
DEP,Department of Environmental Protection,Information about water and sewer bills for residential and commercial accounts.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:11:48.000,Water and Sewer Bill Information,10:11:48 PM,90494070
DOHMH,Department of Health and Mental Hygiene,STD testing and treatment.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:14:42.000,Sexually Transmitted Disease Test for Adults,10:14:42 PM,90494071
DHS,Department of Homeless Services,Complaint or comment from a homeless person about a homeless shelter or drop-in center.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T22:03:01.000,Homeless Shelter Complaint - Shelter Client,10:03:01 PM,90494072
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T22:10:19.000,Heat Complaint - Residential Building - Inadequate Heat,10:10:19 PM,90494073
DOE,Department of Education,Find a school zone based on the student's address.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T22:12:28.000,Find a School Zone,10:12:28 PM,90494074
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T22:16:48.000,Service Request Status - General,10:16:48 PM,90494075
DSNY,Department of Sanitation,Report of a public location where dog walkers frequently fail to pick up dog waste.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T22:20:10.000,"Dog Waste - Street, Sidewalk or Adjoining Area",10:20:10 PM,90494076
DHS,Department of Homeless Services,Complaint or comment from a homeless person about a homeless shelter or drop-in center.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T22:26:23.000,Homeless Shelter Complaint - Shelter Client,10:26:23 PM,90494077
NYCEM,NYC Emergency Management,Find a location of a temporary center for relief from the cold during the day.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T22:29:49.000,Warming Center Locations,10:29:49 PM,90494078
DHS,Department of Homeless Services,Report of a homeless person who may need assistance or shelter. Request for a mobile outreach response team.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T22:31:42.000,Homeless Person Outreach Assistance,10:31:42 PM,90494079
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:32:09.000,Noise from Neighbor,10:32:09 PM,90494080
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T22:27:59.000,Heat Complaint - Residential Building - Inadequate Heat,10:27:59 PM,90494082
DSNY,Department of Sanitation,Request the removal of ice that is not the result of a winter snow or ice storm.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T22:30:47.000,Ice on Roadway - Non-Storm Condition,10:30:47 PM,90494083
DOHMH,Department of Health and Mental Hygiene,Information for someone who is giving away a pet.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:33:29.000,Animal - Unwanted Pet,10:33:29 PM,90494084
3-1-1,3-1-1 Call Center,Request for the phone number or address of a specific person or business.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:39:13.000,Contact Information - Directory Assistance,10:39:13 PM,90494085
3-1-1,3-1-1 Call Center,Complaint or compliment about a City agency or a specific employee.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:37:04.000,City Worker or Agency Complaint or Compliment,10:37:04 PM,90494086
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T23:02:47.000,Noise from Neighbor,11:02:47 PM,90494087
NYPD,New York City Police Department,Report of illegal outdoor drug dealing or use occurring right now. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T23:05:36.000,Drug Activity Outside - In Progress,11:05:36 PM,90494088
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T22:40:13.000,Service Request Status - General,10:40:13 PM,90494089
DCA,Department of Consumer Affairs,Status of a Service Request filed with the Department of Consumer Affairs.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T22:43:32.000,Service Request Status - DCA,10:43:32 PM,90494090
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:47:06.000,Service Request Status - General,10:47:06 PM,90494091
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:50:57.000,Vehicle Blocking Driveway Complaint,10:50:57 PM,90494092
3-1-1,3-1-1 Call Center,"Planned bridge, street, and highway closures due to construction or special events in Brooklyn.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:14:32.000,"Planned Bridge, Highway and Street Closures - Brooklyn",11:14:32 PM,90494093
NYPD,New York City Police Department,Report a non-emergency illegally parked vehicle.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:16:20.000,Illegal Parking Complaint,11:16:20 PM,90494094
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:06:53.000,Vehicle Blocking Driveway Complaint,11:06:53 PM,90494096
DHS,Department of Homeless Services,Report of a homeless person who may need assistance or shelter. Request for a mobile outreach response team.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T23:10:52.000,Homeless Person Outreach Assistance,11:10:52 PM,90494097
DSNY,Department of Sanitation,Learn about throwing away a large item that does not fit in a garbage bin or bag.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:12:26.000,Bulk Item Disposal Information,11:12:26 PM,90494098
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Out of 3-1-1 Jurisdiction,2013-01-24T00:00:00.000,2013-01-24T23:16:02.000,Outside of 311 Jurisdiction,11:16:02 PM,90494099
DOC,Department of Correction,"Get information on an inmate's location, ID numbers, charges, court date, bail, mailing address, and release date.",Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T23:20:02.000,Inmate Location and Information,11:20:02 PM,90494100
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:49:51.000,Service Request Status - General,11:49:51 PM,90494101
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T23:53:23.000,Service Request Status - General,11:53:23 PM,90494102
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T23:18:22.000,Heat Complaint - Residential Building - Inadequate Heat,11:18:22 PM,90494104
NYPD,New York City Police Department,Find a specific precinct or police service area (PSA).,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:20:08.000,Find a Police Precinct or PSA by Name,11:20:08 PM,90494105
NYPD,New York City Police Department,Locate a person you think is in police custody in Manhattan.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:22:09.000,Arrested Person Location - Manhattan,11:22:09 PM,90494106
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T23:22:10.000,Heat Complaint - Residential Building - Inadequate Heat,11:22:10 PM,90494107
DOHMH,Department of Health and Mental Hygiene,Request for a certified copy of a New York City birth certificate with a raised seal.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:37:15.000,Birth Certificate from 1910 to Present,10:37:15 PM,90494108
NYPD,New York City Police Department,Report noise from inside a club or bar.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:41:01.000,Noise from Club or Bar,10:41:01 PM,90494109
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:48:16.000,Heat Complaint - Residential Building - Inadequate Heat,10:48:16 PM,90494110
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:50:55.000,Service Request Status - General,10:50:55 PM,90494111
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T22:51:47.000,Heat Complaint - Residential Building - Inadequate Heat,10:51:47 PM,90494112
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T23:00:26.000,Heat Complaint - Residential Building - Inadequate Heat,11:00:26 PM,90494113
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T23:09:34.000,Heat Complaint - Residential Building - Inadequate Heat,11:09:34 PM,90494114
NYPD,New York City Police Department,Report noise from inside a club or bar.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:48:14.000,Noise from Club or Bar,10:48:14 PM,90494115
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:54:30.000,Noise from Neighbor,10:54:30 PM,90494116
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T23:17:58.000,Heat Complaint - Residential Building - Inadequate Heat,11:17:58 PM,90494117
NYCOURTS,New York Courts,"Information and assistance for landlords and tenants with an ongoing dispute, including eviction.",Agency Closed,2013-01-24T00:00:00.000,2013-01-24T23:31:46.000,Tenant and Landlord Disputes - Queens,11:31:46 PM,90494118
HPD,Department of Housing Preservation and Development,Brochure in Spanish about landlord-tenant rights and obligations.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T23:33:09.000,Tenant and Landlord Disputes Brochure - Spanish,11:33:09 PM,90494119
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T23:36:54.000,Heat Complaint - Residential Building - Inadequate Heat,11:36:54 PM,90494120
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:46:23.000,Service Request Status - General,11:46:23 PM,90494121
NYCHA,New York City Housing Authority,Complaint that public housing is too cold or overheated.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T23:46:42.000,Heat Complaint in NYCHA Building,11:46:42 PM,90494122
NYPD,New York City Police Department,Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T23:49:24.000,Hot Transfer 911,11:49:24 PM,90494124
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:57:38.000,No Hot Water Complaint - Residential Building - From Tenant,11:57:38 PM,90494125
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T00:00:08.000,Heat Complaint - Residential Building - Inadequate Heat,12:00:08 AM,90494126
NYPD,New York City Police Department,Report stolen property. Requires immediate transfer to 911.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:47:02.000,Stolen Property,6:47:02 PM,90494127
NYPD,New York City Police Department,Report stolen property. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T18:48:35.000,Stolen Property,6:48:35 PM,90494128
MOIA,Mayor's Office of Immigrant Affairs,"Assistance with deportation cases and applying for citizenship, green cards, work visas, TPS, HFRP, asylum, and other immigration benefits. Includes free legal help.",Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:49:29.000,Immigration Help,6:49:29 PM,90494129
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:52:00.000,Heat Complaint - Residential Building - Inadequate Heat,6:52:00 PM,90494130
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:56:45.000,Heat Complaint - Residential Building - Inadequate Heat,6:56:45 PM,90494131
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:52:00.000,Heat Complaint - Residential Building - Inadequate Heat,6:52:00 PM,90494132
DOF,Department of Finance,Status of a parking ticket. Must know ticket or license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T18:58:23.000,Parking Ticket Lookup - Ticket or Plate Number Known,6:58:23 PM,90494133
DOF,Department of Finance,Hidden service for activity coding.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T19:02:05.000,Division Referral,7:02:05 PM,90494134
DOF,Department of Finance,Fight a parking ticket in person.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:06:30.000,Fight a Parking Ticket - In Person,7:06:30 PM,90494135
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:06:40.000,No Hot Water Complaint - Residential Building - From Tenant,7:06:40 PM,90494136
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:00:24.000,Heat Complaint - Residential Building - Inadequate Heat,7:00:24 PM,90494138
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:08:16.000,Heat Complaint - Residential Building - Inadequate Heat,7:08:16 PM,90494140
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:13:42.000,Heat Complaint - Residential Building - Inadequate Heat,7:13:42 PM,90494141
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:08:20.000,Heat Complaint - Residential Building - Inadequate Heat,7:08:20 PM,90494142
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:12:32.000,No Hot Water Complaint - Residential Building - From Tenant,7:12:32 PM,90494143
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:14:59.000,Heat Complaint - Residential Building - Inadequate Heat,7:14:59 PM,90494144
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:23:34.000,No Hot Water Complaint - Residential Building - From Tenant,7:23:34 PM,90494145
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:25:13.000,Heat Complaint - Residential Building - Inadequate Heat,7:25:13 PM,90494146
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:14:26.000,No Hot Water Complaint - Residential Building - From Tenant,7:14:26 PM,90494147
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:19:12.000,No Hot Water Complaint - Residential Building - From Tenant,7:19:12 PM,90494148
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:34:36.000,Heat Complaint - Residential Building - Inadequate Heat,7:34:36 PM,90494149
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:35:34.000,Heat Complaint - Residential Building - Inadequate Heat,7:35:34 PM,90494150
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:35:55.000,No Hot Water Complaint - Residential Building - From Tenant,7:35:55 PM,90494151
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:28:49.000,No Hot Water Complaint - Residential Building - From Tenant,7:28:49 PM,90494152
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:29:51.000,Heat Complaint - Residential Building - Inadequate Heat,7:29:51 PM,90494153
NYPD,New York City Police Department,"Report of a homeless person who is currently ill, creating a danger to self or others, or outstretched or sleeping in a subway or other Transit District area. Requires immediate transfer to 911.",Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T19:34:38.000,Homeless Person In Need of Immediate Attention,7:34:38 PM,90494154
NYCHA,New York City Housing Authority,Complaint that public housing is too cold or overheated.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:37:10.000,Heat Complaint in NYCHA Building,7:37:10 PM,90494155
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:38:10.000,Heat Complaint - Residential Building - Inadequate Heat,7:38:10 PM,90494156
3-1-1,3-1-1 Call Center,Request for the phone number or address of a specific person or business.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:39:14.000,Contact Information - Directory Assistance,7:39:14 PM,90494157
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Out of 3-1-1 Jurisdiction,2013-01-24T00:00:00.000,2013-01-24T19:40:46.000,Outside of 311 Jurisdiction,7:40:46 PM,90494158
ASPCA,American Society for the Prevention of Cruelty to Animals,Report an abused animal.,Referral,2013-01-24T00:00:00.000,2013-01-24T19:40:49.000,Animal Abuse - Other Boroughs,7:40:49 PM,90494159
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:44:26.000,Heat Complaint - Residential Building - Inadequate Heat,7:44:26 PM,90494161
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:43:58.000,Service Request Status - General,7:43:58 PM,90494162
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Out of 3-1-1 Jurisdiction,2013-01-24T00:00:00.000,2013-01-24T19:44:33.000,Outside of 311 Jurisdiction,7:44:33 PM,90494163
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:45:48.000,No Hot Water Complaint - Residential Building - From Tenant,7:45:48 PM,90494164
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:47:26.000,Heat Complaint - Residential Building - Inadequate Heat,7:47:26 PM,90494165
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:51:51.000,Heat Complaint - Residential Building - Inadequate Heat,7:51:51 PM,90494166
NYPD,New York City Police Department,Tips about illegal sale or use of drugs or the locations of chronic drug dealing.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T19:50:07.000,Drug Activity - Chronic,7:50:07 PM,90494167
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T19:53:33.000,Heat Complaint - Residential Building - Inadequate Heat,7:53:33 PM,90494168
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:54:17.000,No Hot Water Complaint - Residential Building - From Tenant,7:54:17 PM,90494169
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T20:00:52.000,Heat Complaint - Residential Building - Inadequate Heat,8:00:52 PM,90494170
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:13:58.000,Heat Complaint - Residential Building - Inadequate Heat,8:13:58 PM,90494171
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T19:56:46.000,Heat Complaint - Residential Building - Inadequate Heat,7:56:46 PM,90494172
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T20:02:16.000,Heat Complaint - Residential Building - Inadequate Heat,8:02:16 PM,90494173
DOF,Department of Finance,Location of a vehicle that may have been towed. Must know license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T20:05:45.000,Find a Towed Vehicle - Plate Number Known,8:05:45 PM,90494174
